Title==>,"{""Wind"": ""No""}"
屬性,,Gain(A)
結論,0.8112781244591328,
Weather,0.603759374819711,0.20751874963942185
Temperature,0.6957096287997309,0.11556849565940197
Humidity,0.6957096287997309,0.11556849565940197
Title==>,"{""Wind"": ""Yes""}"
屬性,,Gain(A)
結論,0.863120568566631,
Weather,0.5714285714285714,0.2916919971380596
Temperature,0.6935361388961918,0.16958442967043919
Humidity,0.8571428571428571,0.0059777114237739015
Title==>,{}
屬性,,Gain(A)
結論,0.9819407868640977,
Wind,0.8303779722882111,0.1515628145758866
Temperature,0.9332943963605751,0.048646390503522596
Humidity,0.9429551032049281,0.038985683659169545
Weather,0.9687564187666683,0.0131843680974294
